centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,fee_display,scale,religious_orientation,source_primary,source_notes,threat_score,phone,updated_at,merge_count,entity_resolution
Tadika dan Taska di Shah Alam,"Jalan Setia Gemilang BG U13/BG, 40170 Shah Alam, Selangor Harga yuran Seksyen itar **RM",Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 420,RM 650,RM 420 | RM 650,Independent,Secular,Tavily Search,[Verified: Tavily Search — https://explore.anak2u.com.my/negeri/selangor/Shah-Alam-14] Fees from website.,4,,2026-04-14 03:06:39 UTC,,
Our new located at Glenmarie,"Shah Alam will be opening soon ! Looking for infa, Selangor",Other,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/kindyhaus/posts/our-new-branch-loca],4,844-306-4159,2026-04-14 03:06:39 UTC,,
TASKA TNB GLENMARIE,"JALAN PENGATURCARA U1/51A, KAWASAN PERINDUSTRIAN TEMASYA ; Telephone:",Glenmarie,,,STEAM,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://daycare.my/taska-tnb-glenmarie/],4,0364215934,2026-04-14 03:06:39 UTC,,
KindyHaus Baby & Child Care Centre,"No.2, Jalan Kenyalang 11/8A, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OUT_OF_BOUNDS,3.1651806,101.5903522,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Flagged: Location outside 10km radius],0,,2026-04-14 03:06:39 UTC,,
"Islamic Preschool & Playschool Setia Alam, Shah Alam, Selangor – Brainy Bunch International Montessori","No. 56, Jalan Setia Perdana U13/25H, Precint 12, Setia Alam, 40170 Shah Alam, Selangor ## M",Setia Alam,,,Montessori,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 350–500/month (half-day),RM 500–700/month (full-day),RM 350–500/month (half-day) | RM 500–700/month (full-day),National Chain,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/branches-b/islamic-preschool-playscho] Fees from website. | [Verified: Brainy Bunch website / Kiddy123] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 3 results',4,+60 19-268 0250,2026-04-14 03:06:39 UTC,,
N.A.T.U.R.A.L L.I.V.I.N.G: Tadika Little Caliphs Platinum,"No. 28 Jalan Platinum 7/43D Seksyen 7, 40000 Shah Alam, Selangor Person In Charge :",Other,,,Islamic-integrated,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 300–450/month (half-day),RM 450–650/month (full-day),RM 300–450/month (half-day) | RM 450–650/month (full-day),National Chain,Islamic-integrated,Tavily Search,[Verified: Tavily Search — http://umney.blogspot.com/2013/02/tadika-little-caliphs-plat] Fees from website. | [Verified: Little Caliphs website / Kiddy123] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results' | Tavily: '[Tavily] Phone found',4,019-644 6500,2026-04-14 03:06:39 UTC,,
Terms and Condition LCAM .docx,"Jalan Beranang 2, 27/14A, Taman Alam Megah, Seksyen 27, 40400 Shah Alam, Selangor",Other,,,Islamic-integrated,[Inferred] BM + English — typical for Islamic-integrated preschool,RM10,"rm,","RM10 | rm,",Independent,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://anyflip.com/eoikk/lepi/basic] Fees from website.,4,,2026-04-14 03:06:39 UTC,,
Knowledge Tree Montessori,Jalan Eco Ardence,Setia Alam,3.0948874,101.4779602,Montessori,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 950/month (half-day),"RM 1,500/month (full-day)","RM 950/month (half-day) | RM 1,500/month (full-day)",Independent,International,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/KnowledgeTreeKindergarten/mentions/] | [Verified: Kiddy123 listing],6,+603 6412 2188,2026-04-14 03:06:39 UTC,,
Knowledge Tree Montessori Kindergarten,"No. 39, Jalan Eco Ardence C U12/36C, Seksyen U12, Setia Alam, Shah Alam, Selangor 40170",Setia Alam,,,Montessori,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 950/month (half-day),"RM 1,500/month (full-day)","RM 950/month (half-day) | RM 1,500/month (full-day)",Independent,International,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/knowledge-tree-montessori-k] | [Verified: Kiddy123 listing] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 03:06:39 UTC,,
"Knowledge Tree Montessori Preschool, Ara Damansara","Jalan PJU 1A/1C, Ara Damansara, Petaling Jaya, 47301 Selangor",OUT_OF_BOUNDS,3.1210738,101.5885857,Montessori,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 950/month (half-day),"RM 1,500/month (full-day)","RM 950/month (half-day) | RM 1,500/month (full-day)",Independent,International,Tavily Search,[Flagged: Location outside 10km radius],0,.20230103378,2026-04-14 03:06:39 UTC,,
"Johor,Kulai,Bandar Putra MRC Kids Elmina Shah Alam Trilingual Whole-Brain Preschool (Ages 3 6)","Jalan Eserina AA U16/AA, Seksyen 16, Elmina East (Temu Business Centre), Shah Alam, S, Selangor",Elmina,,,Play-based,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.m.newpages.com.my/en/company/825797/product/5906],4,+60 13-321 5058,2026-04-14 03:06:39 UTC,,
Smart Reader Kids 20,"Jalan Singa D 20/D, Seksyen 20, 40300 Shah Alam, Selangor Darul Ehsan",Other,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Tavily Search,[Verified: Tavily Search — https://smartreadershahalam-seksyen20.weebly.com/] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results' | Tavily: '[Tavily] Phone found',4,012-3989899,2026-04-14 03:06:39 UTC,,
Smart Reader Kids 9,"Shah Alam, Shah Alam, Selangor",Other,3.0564068,101.525125,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Smart-Reader-Kids-Seksyen-9-Shah-] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,+60 11-1151 4415,2026-04-14 03:06:39 UTC,,
Smart Reader Kids 3,"Jalan Sena 3/13A, Seksyen 3, 40000 Shah Alam, Selangor, Malaysia",Other,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,03-5519 1757,2026-04-14 03:06:39 UTC,,
Smart Reader Kids® 23,"Shah Alam T : [03-55411490](tel:03-55411490), Selangor",Other,,,Play-based,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 410,"RM 2,000","RM 410 | RM 2,000",National Chain,Secular,Tavily Search,[Verified: Tavily Search — https://smartreader.edu.my/centre/smart-reader-kids-seksyen-] Fees from website. | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,012-3603504,2026-04-14 03:06:39 UTC,,
Eduwis Eco Ardence,"Jalan D U12/36D Eco Ardence, 40170 Shah Alam, Selangor, Malaysia",Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 03:06:39 UTC,,
REAL Kids Sec 8,"Jalan Liku A8/A, Seksyen 8, 40000 Shah Alam, Selangor, Malaysia",Setia Alam,3.0887787,101.5055761,Cambridge Early Years,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 450–550/month (half-day),RM 700–900/month (full-day),RM 450–550/month (half-day) | RM 700–900/month (full-day),National Chain,International,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-sec-8-shah-] Fees from website. | [Verified: REAL Kids website / Kiddy123 listings] | [Verified via none]: [DDGS] Found address + 4 sources,8,03 5511 4203,2026-04-14 03:06:39 UTC,,
Ace Arrows Kindergarten,"Shah Alam, Selangor",Setia Alam,3.0739429,101.5185278,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/AceArrowsFungates/] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results' | Tavily: '[Tavily] Phone found',4,+6012-2118080,2026-04-14 03:06:39 UTC,,
